Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_N��meros;Cidade;;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
;;;;;;;;;;;;;;;;;;;SALVADOR;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO LUIS;MA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FORMIGA;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SORRISO;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO GONÇALO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;NATAL;RN;;;;;;;;;;;;
1463;18/01/2017;3;4;6;7;10;11;13;14;15;17;19;20;22;23;24;21.086.840,00;8;VILA VELHA;ES;627;16771;180964;927889;207.383,64;1.163,09;20;8;4;0;1.700.000,00;23.471.946,94
;;;;;;;;;;;;;;;;;;;GOIÂNIA;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CANAA DOS CARAJAS;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JOÃO PESSOA;PB;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MARINGÁ;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MACAÉ;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BRAGANÇA PAULISTA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO ROQUE;SP;;;;;;;;;;;;
1464;20/01/2017;1;4;9;10;11;12;13;14;15;16;17;18;22;23;24;21.305.756,00;1;MACAÉ;RJ;292;10246;141550;866787;2.016.298,04;2.124,66;20;8;4;0;1.700.000,00;23.937.246,49
1465;23/01/2017;2;5;7;8;9;10;12;14;16;19;20;21;22;23;24;21.295.222,00;2;BRASÍLIA;DF;336;13305;170497;931139;881.947,85;1.615,29;20;8;4;0;1.700.000,00;24.344.299,35
;;;;;;;;;;;;;;;;;;;SENADOR CANEDO;GO;;;;;;;;;;;;
1466;25/01/2017;2;3;4;6;10;11;12;14;19;20;21;22;23;24;25;20.123.606,00;1;SINOP;MT;389;14765;154813;833086;1.755.067,27;1.388,23;20;8;4;0;1.700.000,00;24.749.314,88
1467;27/01/2017;1;4;5;6;9;10;11;12;19;20;21;22;23;24;25;21.606.380,00;8;SALVADOR;BA;597;15334;177859;880104;234.111,30;1.378,97;20;8;4;0;1.700.000,00;25.181.520,35
;;;;;;;;;;;;;;;;;;;IBIRAÇU;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CASCA;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;NOVO CABRAIS;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ITAJAÍ;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;TABOÃO DA SERRA;SP;;;;;;;;;;;;
1468;30/01/2017;2;3;5;6;8;11;12;13;14;18;19;20;21;23;24;21.298.260,00;4;CAMPO DO BRITO;SE;483;17745;193273;992421;382.413,26;1.392,08;20;8;4;0;1.700.000,00;25.534.517,22
;;;;;;;;;;;;;;;;;;;JABOTICABAL;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PRESIDENTE PRUDENTE;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1469;01/02/2017;1;2;3;5;6;7;8;9;11;13;16;17;18;19;20;21.939.102,00;2;SALVADOR;BA;861;15983;147795;887046;1.014.704,42;1.036,06;20;8;4;0;1.700.000,00;26.002.842,33
;;;;;;;;;;;;;;;;;;;SÃO BERNARDO DO CAMPO;SP;;;;;;;;;;;;
1470;03/02/2017;2;3;7;8;11;12;13;14;15;18;20;21;22;23;24;23.337.248,00;2;SÃO PAULO;SP;421;14548;201070;1103786;864.924,39;1.806,11;20;8;4;0;1.700.000,00;26.402.038,21
1471;06/02/2017;1;2;4;6;7;8;10;11;13;15;18;20;21;22;24;21.654.546,00;2;PEDRO LEOPOLDO;MG;815;19590;186146;915251;874.764,39;943,58;20;8;4;0;1.700.000,00;26.805.775,63
;;;;;;;;;;;;;;;;;;;SANTA BÁRBARA D OESTE;SP;;;;;;;;;;;;
1472;08/02/2017;2;3;4;5;7;8;10;12;13;14;18;21;22;23;24;21.680.734,00;2;RIO DE JANEIRO;RJ;437;17431;229795;1079571;658.198,11;1.324,10;20;8;4;0;1.700.000,00;27.109.559,38
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ DO RIO PRETO;SP;;;;;;;;;;;;
1473;10/02/2017;1;4;5;7;8;9;10;12;14;16;20;22;23;24;25;22.407.144,00;1;SÃO PAULO;SP;345;14712;184903;992938;1.805.494,62;1.610,25;20;8;4;0;1.700.000,00;27.526.212,00
1474;13/02/2017;1;2;5;7;8;10;11;13;14;15;18;19;20;21;25;21.757.610,00;5;ALFENAS;MG;656;21301;211687;1090171;268.592,66;899,86;20;8;4;0;1.700.000,00;27.836.126,61
;;;;;;;;;;;;;;;;;;;NOVO PROGRESSO;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARAUCÁRIA;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;INDAIAL;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JUNDIAÍ;SP;;;;;;;;;;;;
1475;15/02/2017;1;2;3;5;6;9;10;12;13;15;18;20;21;24;25;21.627.130,00;5;VITÓRIA;ES;724;19115;205439;1044763;288.501,08;875,78;20;8;4;0;1.700.000,00;28.169.012,48
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CAMPO MOURÃO;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
1476;17/02/2017;2;4;5;6;7;9;10;12;13;14;16;19;21;22;25;22.087.748,00;4;LONDRINA;PR;536;16954;181798;933603;460.346,72;1.510,07;20;8;4;0;1.700.000,00;28.593.947,93
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;IMBÉ;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GUARATINGUETA;SP;;;;;;;;;;;;
1477;20/02/2017;1;2;3;4;5;6;7;10;12;15;17;18;21;22;23;20.683.238,00;3;ARAUÁ;SE;298;9758;132157;810745;678.046,94;2.100,30;20;8;4;0;1.700.000,00;29.063.365,05
;;;;;;;;;;;;;;;;;;;CAMPINAS;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1478;22/02/2017;2;5;6;7;10;11;12;15;16;17;18;19;21;24;25;20.974.980,00;3;GUARAPARI;ES;386;11341;146383;823821;667.232,51;1.595,61;20;8;4;0;1.700.000,00;29.525.295,25
;;;;;;;;;;;;;;;;;;;SANTO AUGUSTO;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARARAQUARA;SP;;;;;;;;;;;;
1479;24/02/2017;2;3;5;6;9;11;13;14;15;16;17;18;20;22;23;21.282.000,00;2;NATAL;RN;430;14660;177463;905994;884.682,47;1.808,70;20;8;4;0;1.500.000,00;29.933.610,24
;;;;;;;;;;;;;;;;;;;BRAGANÇA PAULISTA;SP;;;;;;;;;;;;
1480;01/03/2017;1;6;7;10;11;12;13;15;16;17;19;20;21;22;25;18.656.990,00;0;;;285;12290;135180;794419;0;1.759,95;20;8;4;1.630.153,62;4.500.000,00;30.309.799,54
1481;03/03/2017;2;3;5;7;8;9;11;17;18;19;20;21;23;24;25;28.981.614,00;3;JAGUAQUARA;BA;502;23821;288152;1416041;1.167.875,31;1.640,44;20;8;4;0;1.700.000,00;30.742.139,31
;;;;;;;;;;;;;;;;;;;EUSÉBIO;CE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CONSELHEIRO LAFAIETE;MG;;;;;;;;;;;;
1482;06/03/2017;1;2;4;5;7;8;9;10;11;12;14;15;19;23;24;21.935.806,00;2;MISSAL;PR;321;13539;207626;973255;838.156,95;1.606,82;20;8;4;0;1.700.000,00;31.128.980,99
;;;;;;;;;;;;;;;;;;;CANOAS;RS;;;;;;;;;;;;
1483;08/03/2017;3;4;5;6;7;9;11;13;14;15;17;20;21;22;23;21.689.440,00;2;RIO DE JANEIRO;RJ;431;16004;205330;999270;783.149,76;1.597,40;20;8;4;0;1.700.000,00;31.490.434,72
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ DO RIO PRETO;SP;;;;;;;;;;;;
1484;10/03/2017;1;2;3;4;6;7;9;10;12;17;18;19;21;22;25;22.190.950,00;2;SÃO LUIS;MA;319;11500;157103;880857;1.048.630,65;2.022,92;20;8;4;0;1.700.000,00;31.974.418,10
;;;;;;;;;;;;;;;;;;;LONDRINA;PR;;;;;;;;;;;;
1485;13/03/2017;1;2;3;5;8;9;11;13;15;17;18;19;23;24;25;21.895.830,00;4;CATALÃO;GO;944;35996;280169;1158028;215.931,75;402,18;20;8;4;0;1.700.000,00;32.173.739,72
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO BENTO DO SAPUCAI;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1486;15/03/2017;2;4;5;8;9;10;12;14;18;19;20;21;22;23;25;21.478.510,00;1;RIO DE JANEIRO;RJ;498;17495;204214;1023723;1.470.685,52;1.298,10;20;8;4;0;1.700.000,00;32.513.128,69
1487;17/03/2017;1;2;3;4;5;6;10;11;12;15;16;19;21;22;25;22.417.688,00;3;BRASÍLIA;DF;351;13869;157649;910359;688.247,98;1.809,99;20;8;4;0;1.700.000,00;32.989.608,07
;;;;;;;;;;;;;;;;;;;JOINVILLE;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARAGUAÍNA;TO;;;;;;;;;;;;
1488;20/03/2017;1;4;5;6;10;11;12;13;16;19;20;21;23;24;25;21.522.014,00;4;ARIQUEMES;RO;600;19921;190961;999588;387.339,06;1.135,05;20;8;4;0;1.700.000,00;33.347.151,82
;;;;;;;;;;;;;;;;;;;SÃO BENTO DO SUL;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BAURU;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JANDIRA;SP;;;;;;;;;;;;
1489;22/03/2017;2;4;7;8;9;10;12;13;14;15;19;20;22;23;25;21.515.560,00;3;CARIACICA;ES;434;16858;207756;1039838;480.522,59;1.460,03;20;8;4;0;1.700.000,00;33.679.821,31
;;;;;;;;;;;;;;;;;;;PARAGOMINAS;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;NOSSA SENHORA DE LOURDES;SE;;;;;;;;;;;;
1490;24/03/2017;1;3;4;5;7;8;9;11;13;14;15;18;19;20;22;21.899.086,00;2;CAMAÇARI;BA;486;16503;198499;1062665;756.297,48;1.368,05;20;8;4;0;1.700.000,00;34.028.881,70
;;;;;;;;;;;;;;;;;;;BRASÍLIA;DF;;;;;;;;;;;;
1491;27/03/2017;2;4;5;6;7;9;11;13;14;19;20;22;23;24;25;21.145.518,00;1;RIO DE JANEIRO;RJ;560;19310;201204;1016203;1.413.132,73;1.109,20;20;8;4;0;1.700.000,00;34.354.989,25
1492;29/03/2017;2;3;4;5;7;8;10;12;15;16;17;18;19;24;25;20.690.990,00;2;FORTALEZA;CE;296;12094;164409;885723;880.277,49;1.830,10;20;8;4;0;1.700.000,00;34.761.271,18
;;;;;;;;;;;;;;;;;;;PIRACICABA;SP;;;;;;;;;;;;
1493;31/03/2017;2;5;8;10;11;13;14;15;16;19;20;21;23;24;25;21.953.390,00;9;FORTALEZA;CE;853;23807;222932;1104948;143.438,70;665,24;20;8;4;0;1.700.000,00;35.059.182,32
;;;;;;;;;;;;;;;;;;;BRASÍLIA;DF;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PEDRO CANÁRIO;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ERECHIM;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PIRACICABA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SUZANO;SP;;;;;;;;;;;;
1494;03/04/2017;1;2;3;4;9;10;11;12;13;15;17;19;20;22;25;21.877.412,00;3;TERESINA;PI;457;16571;203250;1048683;505.284,94;1.458,00;20;8;4;0;1.700.000,00;35.408.994,98
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ DO RIO PRETO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1495;05/04/2017;1;2;3;4;5;8;10;12;13;14;18;22;23;24;25;21.985.282,00;3;FORMOSA;GO;730;21649;223757;1078738;453.858,54;819,85;20;8;4;0;1.700.000,00;35.723.204,75
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
1496;07/04/2017;2;3;6;7;9;10;11;12;13;15;17;19;20;23;25;23.117.076,00;1;TAIÓ;SC;594;23440;258735;1182885;1.251.644,24;926,21;20;8;4;0;1.700.000,00;36.012.045,73
1497;10/04/2017;1;2;5;7;11;12;13;14;15;16;17;18;19;22;23;20.049.010,00;1;JUNDIAÍ;SP;220;10018;129742;818464;1.901.422,20;2.659,33;20;8;4;0;1.700.000,00;36.450.835,47
1498;12/04/2017;4;5;7;8;10;11;14;15;16;17;18;21;23;24;25;21.352.872,00;1;BARRA MANSA;RJ;410;13857;171697;911301;1.801.980,50;1.352,33;20;8;4;0;1.700.000,00;36.866.677,13
1499;15/04/2017;1;2;3;4;5;7;8;12;13;14;15;18;19;23;24;15.955.774,00;2;GUARANTA DO NORTE;MT;504;14231;169365;820044;454.316,92;792,45;20;8;4;0;1.000.000,00;37.076.361,87
;;;;;;;;;;;;;;;;;;;CHAPECÓ;SC;;;;;;;;;;;;
1500;17/04/2017;1;2;3;5;7;10;11;12;13;15;17;18;19;20;22;16.306.198,00;3;BRASÍLIA;DF;394;13924;177400;822864;315.388,37;1.055,57;20;8;4;0;1.700.000,00;37.294.707,67
;;;;;;;;;;;;;;;;;;;SÃO MIGUEL DO GUAPORÉ;RO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARAGUATINS;TO;;;;;;;;;;;;
1501;19/04/2017;1;6;7;8;9;10;11;13;16;17;18;21;22;24;25;20.686.976,00;2;ANÁPOLIS;GO;231;8984;121404;756632;1.089.774,04;2.903,16;20;8;4;0;1.700.000,00;37.797.680,31
;;;;;;;;;;;;;;;;;;;AVELINOPOLIS;GO;;;;;;;;;;;;
1502;22/04/2017;1;2;3;4;5;7;11;12;13;15;17;18;20;22;24;17.341.230,00;0;;;454;19681;165975;841016;0;1.071,28;20;8;4;1.106.475,68;3.500.000,00;38.053.020,86
1503;24/04/2017;1;2;3;7;12;15;16;17;18;20;21;22;23;24;25;20.715.154,00;0;;;290;10408;136832;840625;0;2.082,89;20;8;4;3.069.597,98;5.800.000,00;38.506.049,09
1504;26/04/2017;1;4;5;7;8;11;12;14;17;18;19;21;23;24;25;31.453.864,00;2;SALVADOR;BA;828;26035;283795;1426452;2.703.729,54;1.241,10;20;8;4;0;1.700.000,00;39.045.555,50
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1505;28/04/2017;1;2;3;6;7;11;14;16;17;18;19;20;22;24;25;19.707.732,00;1;LONDRINA;PR;196;7625;114617;700630;2.125.397,96;3.336,58;20;8;4;0;2.000.000,00;39.536.031,97
1506;03/05/2017;3;4;5;8;9;10;13;14;17;18;19;20;21;22;24;27.740.612,00;2;RIO DE JANEIRO;RJ;633;19727;240630;1227715;1.090.843,42;1.514,98;20;8;4;0;1.700.000,00;40.039.498,17
1507;05/05/2017;1;2;3;4;5;8;10;11;13;14;17;19;21;23;24;23.451.338,00;6;FORTALEZA;CE;791;22225;234971;1192800;232.847,67;776,36;20;8;4;0;1.700.000,00;40.361.902,63
;;;;;;;;;;;;;;;;;;;BARRA DE SÃO FRANCISCO;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MONTES CLAROS;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO BERNARDO DO CAMPO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1508;08/05/2017;1;3;7;8;9;10;11;12;14;17;19;21;22;23;24;21.144.002,00;2;RECIFE;PE;458;16743;190658;983957;766.634,29;1.471,53;20;8;4;0;1.700.000,00;40.715.733,84
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1509;10/05/2017;1;2;3;6;7;8;9;13;14;15;17;18;19;22;24;22.198.490,00;5;MACEIÓ;AL;724;18443;204140;991548;332.578,98;1.009,58;20;8;4;0;1.700.000,00;41.099.478,82
;;;;;;;;;;;;;;;;;;;DOURADOS;MS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MARÍLIA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1510;12/05/2017;1;3;4;7;8;9;10;11;12;13;15;18;19;22;24;22.715.058,00;4;CARIACICA;ES;586;21595;235256;1184036;318.127,19;954,51;20;8;4;0;1.700.000,00;41.393.134,70
;;;;;;;;;;;;;;;;;;;ITAITUBA;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Teresina;PI;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;NITEROI;RJ;;;;;;;;;;;;
1511;15/05/2017;2;4;5;8;9;10;11;12;13;15;19;20;21;23;24;21.593.548,00;5;GOIÂNIA;GO;660;19451;216373;1060479;272.884,25;908,7;20;8;4;0;1.700.000,00;41.708.001,14
;;;;;;;;;;;;;;;;;;;Montes Claros;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PATOS DE MINAS;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CERRO AZUL;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sorocaba;SP;;;;;;;;;;;;
1512;17/05/2017;2;3;4;6;10;11;12;13;15;16;17;19;21;22;24;21.699.290,00;1;RIO DE JANEIRO;RJ;447;13578;159040;862389;2.007.937,94;1.382,16;20;8;4;0;1.700.000,00;42.171.371,44
1513;19/05/2017;3;4;6;7;9;10;11;12;13;14;16;18;21;22;24;21.302.388,00;1;PENÁPOLIS;SP;351;12949;155263;872250;1.931.178,44;1.692,91;20;8;4;0;1.700.000,00;42.617.028,02
1514;22/05/2017;3;4;5;7;8;11;12;13;15;16;17;19;20;21;24;20.698.336,00;2;FILADÉLFIA;BA;421;12339;157467;922916;858.676,00;1.793,06;20;8;4;0;1.700.000,00;43.013.340,03
;;;;;;;;;;;;;;;;;;;APUCARANA;PR;;;;;;;;;;;;
1515;24/05/2017;1;2;3;5;8;9;11;12;13;16;17;18;19;20;23;20.445.844,00;5;MANAUS;AM;332;12453;160295;908667;336.430,51;1.559,00;20;8;4;0;1.700.000,00;43.401.529,08
;;;;;;;;;;;;;;;;;;;GOIÂNIA;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JUNDIAÍ;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sorocaba;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1516;26/05/2017;1;2;6;7;10;11;12;14;16;18;19;20;22;23;24;21.031.948,00;3;MOGI DAS CRUZES;SP;300;11390;149439;809054;676.080,02;2.080,25;20;8;4;0;1.700.000,00;43.869.584,48
;;;;;;;;;;;;;;;;;;;SÃO BERNARDO DO CAMPO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1517;29/05/2017;2;3;5;8;10;11;12;14;15;18;20;21;23;24;25;20.083.738,00;4;MACEIÓ;AL;693;22740;216554;1021799;276.609,09;701,79;20;8;4;0;1.700.000,00;44.124.915,95
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;APUCARANA;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ DO RIO PRETO;SP;;;;;;;;;;;;
1518;31/05/2017;2;3;4;5;7;8;11;12;14;16;17;20;22;24;25;20.335.188,00;4;RIO DE JANEIRO;RJ;381;12852;157866;854588;440.990,32;1.424,56;20;8;4;0;1.700.000,00;44.531.983,95
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1519;02/06/2017;1;4;6;8;13;14;16;17;18;20;21;22;23;24;25;22.192.178,00;4;GOIÂNIA;GO;331;12122;151372;877555;529.678,45;1.969,52;20;8;4;0;1.700.000,00;45.020.917,90
;;;;;;;;;;;;;;;;;;;ITAJUBÁ;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;UBERLÂNDIA;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FLORIANO;PI;;;;;;;;;;;;
1520;05/06/2017;1;2;4;8;9;10;12;13;14;16;17;18;19;24;25;20.956.558,00;6;FORTALEZA;CE;497;17287;173513;902896;283.547,62;1.504,66;20;8;4;0;1.700.000,00;45.413.522,30
;;;;;;;;;;;;;;;;;;;NOVO GAMA;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GENERAL CARNEIRO;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CURITIBA;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1521;07/06/2017;1;2;3;4;5;7;8;12;14;15;17;19;20;23;24;21.700.650,00;4;BALSAS;MA;530;18994;201761;1064105;359.073,26;1.191,20;20;8;4;0;1.700.000,00;45.744.974,54
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CANARANA;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ DOS PINHAIS;PR;;;;;;;;;;;;
1522;09/06/2017;1;8;9;10;11;13;14;15;16;18;19;20;21;23;24;22.627.826,00;2;SANTO ANTÔNIO DE PÁDUA;RJ;346;12938;175923;1016775;927.234,52;1.649,15;20;8;4;0;1.700.000,00;46.172.928,93
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1523;12/06/2017;3;5;6;7;9;10;12;13;14;16;18;19;21;23;25;21.017.854,00;8;RECIFE;PE;903;21770;202653;959572;182.920,06;712,33;20;8;4;0;1.700.000,00;46.510.627,50
;;;;;;;;;;;;;;;;;;;CAMPO MOURÃO;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JANDAIA DO SUL;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BARRA MANSA;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;OSASCO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PALMAS;TO;;;;;;;;;;;;
1524;14/06/2017;1;3;5;6;7;8;9;10;13;14;20;22;23;24;25;21.363.994,00;1;PALMAS;TO;246;10070;152728;919742;1.892.320,43;2.366,88;20;8;4;0;1.700.000,00;46.947.316,84
1525;16/06/2017;1;2;4;5;8;10;12;14;15;18;19;20;21;22;25;18.187.784,00;3;GOIANÉSIA;GO;417;14860;159281;815723;462.573,29;1.462,79;20;8;4;0;1.700.000,00;47.267.559,89
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LONDRINA;PR;;;;;;;;;;;;
1526;19/06/2017;5;7;8;9;10;11;13;15;17;18;20;21;22;23;25;21.417.458,00;7;BRASÍLIA;DF;589;21243;240559;1098690;165.114,45;862,55;20;8;4;0;1.700.000,00;47.534.283,23
;;;;;;;;;;;;;;;;;;;CARIACICA;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;VITÓRIA;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;VALENÇA;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CAMPINAS;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;DUARTINA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;TABAPUA;SP;;;;;;;;;;;;
1527;21/06/2017;1;2;3;5;6;7;9;10;14;15;20;21;22;24;25;21.070.566,00;1;CUIABÁ;MT;293;10671;154254;852408;1.945.969,06;2.043,55;20;8;4;0;1.700.000,00;47.983.353,03
1528;23/06/2017;1;2;4;5;6;8;9;10;17;18;20;21;23;24;25;20.670.296,00;0;;;246;10465;147891;856773;0;2.356,61;20;8;4;1.884.111,74;4.800.000,00;48.418.148,05
1529;26/06/2017;2;3;4;5;8;11;13;14;16;17;18;19;20;21;24;28.688.292,00;3;MURITIBA;BA;367;14577;215162;1207332;1.476.461,28;2.133,95;20;8;4;0;1.700.000,00;49.005.518,54
;;;;;;;;;;;;;;;;;;;PONTA GROSSA;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GUARULHOS;SP;;;;;;;;;;;;
1530;28/06/2017;2;4;5;7;9;10;12;14;15;16;18;20;22;23;24;21.444.734,00;41;;BA;1719;27240;220736;960961;34.864,17;365,51;20;8;4;0;1.700.000,00;49.335.387,20
1531;30/06/2017;1;2;3;4;7;8;10;11;13;14;15;19;22;23;24;22.483.898,00;1;SANTOS;SP;534;19757;227784;1128762;1.371.437,50;1.128,89;20;8;4;0;1.700.000,00;49.651.872,78
1532;03/07/2017;1;2;3;8;9;10;11;12;13;14;17;18;20;22;25;22.544.940,00;3;SALINAS;MG;505;16133;197783;1011034;579.974,79;1.514,45;20;8;4;0;1.700.000,00;50.053.393,79
;;;;;;;;;;;;;;;;;;;IGUABA GRANDE;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GUARUJÁ;SP;;;;;;;;;;;;
1533;05/07/2017;1;3;4;6;7;11;12;13;14;15;16;19;20;21;24;23.351.764,00;2;IMPERATRIZ;MA;323;12502;166823;925155;1.100.549,01;2.096,78;20;8;4;0;1.700.000,00;50.561.339,50
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
1534;07/07/2017;1;4;5;8;9;10;11;12;13;14;16;17;19;21;24;24.031.176,00;1;SANTA INÊS;MA;357;13908;186284;1034775;2.051.963,67;1.768,55;20;8;4;0;1.700.000,00;51.034.869,58
1535;10/07/2017;3;4;5;7;8;12;13;15;17;18;21;22;23;24;25;21.625.112,00;5;MANAUS;AM;650;19738;219185;1079157;264.761,12;895,21;20;8;4;0;1.700.000,00;51.340.363,18
;;;;;;;;;;;;;;;;;;;BRASÍLIA;DF;;;;;;;;;;;;
